Precision (0),Precision (1),Recall (0),Recall (1),F1 (0),F1 (1),MCC,Balanced Acc,AUROC,Centre,Fold
0.4,1.0,1.0,0.5714285714285714,0.5714285714285715,0.7272727272727273,0.47809144373375745,0.7857142857142857,0.7857142857142857,Catania,0
0.8823529411764706,0.5,0.9375,0.3333333333333333,0.9090909090909091,0.4,0.3217979514674192,0.6354166666666666,0.625,Milan,0
0.5,0.7142857142857143,0.6842105263157895,0.5357142857142857,0.5777777777777778,0.6122448979591837,0.2170869536269191,0.6099624060150376,0.6484962406015038,Rome,0
0.0,0.8333333333333334,0.0,0.7142857142857143,0.0,0.7692307692307692,-0.2182178902359924,0.35714285714285715,0.5714285714285714,Catania,1
0.875,0.3333333333333333,0.875,0.3333333333333333,0.875,0.3333333333333333,0.20833333333333334,0.6041666666666666,0.6875,Milan,1
0.5909090909090909,0.76,0.6842105263157895,0.6785714285714286,0.6341463414634148,0.7169811320754718,0.3567961406569535,0.6813909774436091,0.6541353383458647,Rome,1
0.2,1.0,1.0,0.42857142857142855,0.33333333333333337,0.6,0.29277002188455997,0.7142857142857143,0.8571428571428571,Catania,2
0.8571428571428571,0.2,0.75,0.3333333333333333,0.7999999999999999,0.25,0.06900655593423542,0.5416666666666666,0.7708333333333333,Milan,2
0.5172413793103449,0.7222222222222222,0.75,0.48148148148148145,0.6122448979591838,0.5777777777777777,0.2354387165350036,0.6157407407407407,0.6981481481481481,Rome,2
0.5,1.0,1.0,0.8571428571428571,0.6666666666666666,0.923076923076923,0.6546536707079772,0.9285714285714286,1.0,Catania,3
0.8823529411764706,0.5,0.9375,0.3333333333333333,0.9090909090909091,0.4,0.3217979514674192,0.6354166666666666,0.6875,Milan,3
0.6666666666666666,0.6875,0.5,0.8148148148148148,0.5714285714285715,0.7457627118644067,0.3339115355603141,0.6574074074074074,0.7148148148148148,Rome,3
0.3333333333333333,1.0,1.0,0.75,0.5,0.8571428571428571,0.5,0.875,1.0,Catania,4
0.9166666666666666,0.16666666666666666,0.6875,0.5,0.7857142857142857,0.25,0.125,0.59375,0.71875,Milan,4
0.5714285714285714,0.6363636363636364,0.4,0.7777777777777778,0.47058823529411764,0.7000000000000001,0.19219999204171925,0.5888888888888889,0.5944444444444444,Rome,4
0.5,0.8571428571428571,0.5,0.8571428571428571,0.5,0.8571428571428571,0.35714285714285715,0.6785714285714286,0.9285714285714286,Catania,5
0.9230769230769231,0.2,0.75,0.5,0.8275862068965517,0.28571428571428575,0.17541160386140586,0.625,0.5,Milan,5
0.7058823529411765,0.7333333333333333,0.6,0.8148148148148148,0.6486486486486486,0.7719298245614035,0.4268409230213553,0.7074074074074074,0.7685185185185185,Rome,5
0.5,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333,0.5976143046671968,0.8571428571428572,1.0,Catania,6
0.9375,0.5,0.9375,0.5,0.9375,0.5,0.4375,0.71875,0.84375,Milan,6
0.47368421052631576,0.6071428571428571,0.45,0.6296296296296297,0.46153846153846156,0.6181818181818182,0.08022611459210306,0.5398148148148149,0.674074074074074,Rome,6
0.5,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8333333333333333,0.5976143046671968,0.8571428571428572,1.0,Catania,7
0.875,0.0,0.875,0.0,0.875,0.0,-0.125,0.4375,0.5625,Milan,7
0.55,0.6666666666666666,0.55,0.6666666666666666,0.55,0.6666666666666666,0.21666666666666667,0.6083333333333334,0.5277777777777777,Rome,7
0.25,0.8,0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.05976143046671968,0.5357142857142857,0.5,Catania,8
1.0,0.16666666666666666,0.375,1.0,0.5454545454545454,0.2857142857142857,0.25,0.6875,1.0,Milan,8
0.7,0.6486486486486487,0.35,0.8888888888888888,0.4666666666666667,0.75,0.28859710374203046,0.6194444444444445,0.6759259259259259,Rome,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Catania,9
0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.9333333333333333,0.6666666666666666,0.6,0.8,0.8666666666666667,Milan,9
0.6666666666666666,0.7586206896551724,0.631578947368421,0.7857142857142857,0.6486486486486486,0.7719298245614034,0.4212713328826653,0.7086466165413534,0.7593984962406015,Rome,9
